Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.180000,-77.430000,180.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.500000,-78.500000,0.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.717500,-90.930000,0.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.180000,-94.467500,-90.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.500000,-89.500000,-90.000000,top
"C7","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.717500,-93.930000,0.000000,top
"C8","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.680000,-103.967500,90.000000,top
"C9","10uF","CP_EIA-6032-28_Kemet-C_HandSolder",111.000000,-81.000000,90.000000,top
"C13","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.642500,-113.430000,180.000000,top
"C14","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",124.180000,-104.930000,90.000000,top
"C15","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.142500,-113.430000,0.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",124.180000,-110.392500,-90.000000,top
"C17","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.980000,-113.130000,-90.000000,top
"C18","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.180000,-112.967500,-90.000000,top
"C19","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.000000,-83.000000,90.000000,top
"C20","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.000000,-83.000000,-90.000000,top
"C21","0.01uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.037500,-77.500000,0.000000,top
"C22","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.980000,-115.430000,-90.000000,top
"C23","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.980000,-110.930000,90.000000,top
"C24","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.142500,-90.930000,180.000000,top
"C25","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.462500,-102.000000,180.000000,top
"C26","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.180000,-89.537500,90.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",118.730000,-89.580000,0.000000,top
"D2","USB_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.155000,-92.930000,0.000000,top
"D3","3V3_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",129.180000,-108.455000,-90.000000,top
"D4","USER_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",136.680000,-101.430000,180.000000,top
"D5","5V_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.255000,-120.350000,0.000000,top
